codigo_municipio,municipio,grupo,variable,mes,menores a 1 año,de 1 a 4 años,de 5 a 9 años,de 10 a 20 años,de 21 a 59 años,de 60 y más años,total
10101,SUCRE,sospecha diagnostica,meningitis meningococica,2013-01-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,meningitis meningococica,2013-01-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,meningitis meningococica,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,meningitis meningococica,2013-04-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
20105,EL ALTO,sospecha diagnostica,meningitis meningococica,2013-05-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70105,EL TORNO,sospecha diagnostica,meningitis meningococica,2013-05-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10101,SUCRE,sospecha diagnostica,meningitis meningococica,2013-05-01,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10101,SUCRE,sospecha diagnostica,meningitis meningococica,2013-06-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
10101,SUCRE,sospecha diagnostica,meningitis meningococica,2013-08-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
80302,SAN BORJA,sospecha diagnostica,meningitis meningococica,2013-09-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10101,SUCRE,sospecha diagnostica,meningitis meningococica,2013-09-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,meningitis meningococica,2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20105,EL ALTO,sospecha diagnostica,meningitis meningococica,2013-10-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10101,SUCRE,sospecha diagnostica,meningitis meningococica,2013-10-01,1.0,2.0,0.0,0.0,0.0,0.0,3.0
20105,EL ALTO,sospecha diagnostica,meningitis meningococica,2013-11-01,1.0,0.0,0.0,0.0,1.0,0.0,2.0
10101,SUCRE,sospecha diagnostica,meningitis meningococica,2013-12-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10801,VILLA SERRANO,sospecha diagnostica,meningitis meningococica,2013-12-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
